=== Summary for solver: LAD (random graphs) ===

graph | time(s) | alloc(B)
100_random_graph_700.lad | NaN | NaN
10_random_graph_700.lad | NaN | NaN
11_random_graph_700.lad | 3.590 | 5477968
12_random_graph_700.lad | NaN | NaN
13_random_graph_700.lad | NaN | NaN
14_random_graph_700.lad | NaN | NaN
15_random_graph_700.lad | NaN | NaN
16_random_graph_700.lad | 2.110 | 4627476
17_random_graph_700.lad | NaN | NaN
18_random_graph_700.lad | NaN | NaN
19_random_graph_700.lad | NaN | NaN
1_random_graph_700.lad | NaN | NaN
20_random_graph_700.lad | NaN | NaN
21_random_graph_700.lad | 2.160 | 4627476
22_random_graph_700.lad | NaN | NaN
23_random_graph_700.lad | NaN | NaN
24_random_graph_700.lad | NaN | NaN
25_random_graph_700.lad | NaN | NaN
26_random_graph_700.lad | NaN | NaN
27_random_graph_700.lad | NaN | NaN
28_random_graph_700.lad | 3.510 | 5500768
29_random_graph_700.lad | NaN | NaN
2_random_graph_700.lad | NaN | NaN
30_random_graph_700.lad | NaN | NaN
31_random_graph_700.lad | NaN | NaN
32_random_graph_700.lad | NaN | NaN
33_random_graph_700.lad | NaN | NaN
34_random_graph_700.lad | NaN | NaN
35_random_graph_700.lad | NaN | NaN
36_random_graph_700.lad | NaN | NaN
37_random_graph_700.lad | NaN | NaN
38_random_graph_700.lad | NaN | NaN
39_random_graph_700.lad | NaN | NaN
3_random_graph_700.lad | NaN | NaN
40_random_graph_700.lad | NaN | NaN
41_random_graph_700.lad | 60.160 | 5944340
42_random_graph_700.lad | 5.770 | 5576332
43_random_graph_700.lad | NaN | NaN
44_random_graph_700.lad | NaN | NaN
45_random_graph_700.lad | NaN | NaN
46_random_graph_700.lad | NaN | NaN
47_random_graph_700.lad | NaN | NaN
48_random_graph_700.lad | NaN | NaN
49_random_graph_700.lad | NaN | NaN
4_random_graph_700.lad | NaN | NaN
50_random_graph_700.lad | NaN | NaN
51_random_graph_700.lad | NaN | NaN
52_random_graph_700.lad | 82.510 | 5958084
53_random_graph_700.lad | 22.640 | 5769512
54_random_graph_700.lad | NaN | NaN
55_random_graph_700.lad | 3.620 | 5524376
56_random_graph_700.lad | NaN | NaN
57_random_graph_700.lad | NaN | NaN
58_random_graph_700.lad | NaN | NaN
59_random_graph_700.lad | NaN | NaN
5_random_graph_700.lad | NaN | NaN
60_random_graph_700.lad | NaN | NaN
61_random_graph_700.lad | NaN | NaN
62_random_graph_700.lad | NaN | NaN
63_random_graph_700.lad | NaN | NaN
64_random_graph_700.lad | NaN | NaN
65_random_graph_700.lad | NaN | NaN
66_random_graph_700.lad | 7.850 | 5673844
67_random_graph_700.lad | NaN | NaN
68_random_graph_700.lad | NaN | NaN
69_random_graph_700.lad | NaN | NaN
6_random_graph_700.lad | NaN | NaN
70_random_graph_700.lad | 3.970 | 5515212
71_random_graph_700.lad | NaN | NaN
72_random_graph_700.lad | NaN | NaN
73_random_graph_700.lad | NaN | NaN
74_random_graph_700.lad | NaN | NaN
75_random_graph_700.lad | 17.040 | 5700584
76_random_graph_700.lad | NaN | NaN
77_random_graph_700.lad | NaN | NaN
78_random_graph_700.lad | 2.130 | 4627476
79_random_graph_700.lad | 64.160 | 5895036
7_random_graph_700.lad | NaN | NaN
80_random_graph_700.lad | NaN | NaN
81_random_graph_700.lad | 5.840 | 5571744
82_random_graph_700.lad | NaN | NaN
83_random_graph_700.lad | NaN | NaN
84_random_graph_700.lad | NaN | NaN
85_random_graph_700.lad | NaN | NaN
86_random_graph_700.lad | NaN | NaN
87_random_graph_700.lad | NaN | NaN
88_random_graph_700.lad | NaN | NaN
89_random_graph_700.lad | NaN | NaN
8_random_graph_700.lad | 52.760 | 5902148
90_random_graph_700.lad | NaN | NaN
91_random_graph_700.lad | 64.620 | 5914676
92_random_graph_700.lad | NaN | NaN
93_random_graph_700.lad | NaN | NaN
94_random_graph_700.lad | NaN | NaN
95_random_graph_700.lad | NaN | NaN
96_random_graph_700.lad | 3.700 | 5504604
97_random_graph_700.lad | NaN | NaN
98_random_graph_700.lad | NaN | NaN
99_random_graph_700.lad | 3.500 | 5465320
9_random_graph_700.lad | NaN | NaN
